Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"October, 2004",45.5,35.3,55.7,2.46,538,
"September, 2004",56.2,44.4,68.0,2.74,212,5
"August, 2004",64.6,54.5,74.8,6.38,48,85
"July, 2004",64.6,54.7,74.4,4.68,52,67
"June, 2004",57.5,46.0,69.1,2.77,186,2
"May, 2004",51.9,40.3,63.6,3.79,363,
"April, 2004",39.6,29.1,50.0,3.41,701,
"March, 2004",28.7,18.9,38.5,1.61,"1,040",
"February, 2004",18.0,7.1,29.0,1.44,"1,211",
"January, 2004",6.4,-2.0,14.8,0.97,"1,688",
"December, 2003",23.0,14.3,31.9,6.33,"1,188",
"November, 2003",35.4,27.1,43.6,4.40,808,
"October, 2003",44.6,35.4,53.8,7.93,568,
"September, 2003",58.4,47.0,69.7,4.20,163,11
"August, 2003",66.0,56.4,75.7,3.53,31,110
"July, 2003",65.9,55.5,76.2,3.47,27,104
"June, 2003",61.2,49.3,73.2,3.27,103,20
"May, 2003",49.6,38.7,60.6,3.49,435,
"April, 2003",35.7,24.6,46.8,1.92,803,
"March, 2003",24.2,12.7,35.7,3.51,"1,158",
"February, 2003",12.2,1.8,22.7,2.66,"1,363",
"January, 2003",9.2,-0.1,18.5,1.31,"1,617",
"December, 2002",21.1,12.4,29.7,3.10,"1,259",
"November, 2002",30.7,23.6,37.8,4.21,935,
"October, 2002",41.7,32.5,50.9,3.06,644,
"September, 2002",59.3,47.2,71.3,4.25,139,16
"August, 2002",66.7,54.1,79.3,0.98,23,133
"July, 2002",65.6,54.5,76.6,3.96,31,97
"June, 2002",58.3,47.0,69.6,4.17,161,6
"May, 2002",48.8,37.1,60.6,3.40,444,
"April, 2002",39.9,30.8,49.0,4.42,680,
"March, 2002",26.9,17.3,36.5,3.52,"1,063",
"February, 2002",20.4,10.2,30.6,3.25,"1,142",
"January, 2002",21.0,12.9,29.2,2.66,"1,246",
"December, 2001",28.7,21.2,36.1,2.10,"1,046",
"November, 2001",37.4,29.9,44.9,2.23,756,
